ProductBrand,ProductName,ProductTHCUnit,ProductTHCAmount,ProductCBDUnit,ProductCBDAmount,DispensaryName,Delivery,ProductType,ProductTypeSub,Quantity1,Price1,QuantityAvailable
Bos Nose Knows,Wedding Cake (BNK),N/A,0,N/A,0,Archive,0,Concentrate,rosin,1g,47.6,1
Decibel Farms,Cake Crasher Live Rosin | 1g,PERCENTAGE,64.34,PERCENTAGE,0,Tetra Cannabis (Belmont),1,Concentrate,rosin,1g,48,2
Happy Cabbage Farms,Johnny Glaze Hash Rosin Batter | 1g,PERCENTAGE,61.4,PERCENTAGE,0,Deanz Greenz (Sandy),0,Concentrate,rosin,1g,48,4
Highland Provisions,Garlic Drip Premium Live Rosin Jam | 1g,PERCENTAGE,75.27,PERCENTAGE,0.17,Top Hat Express,1,Concentrate,rosin,1g,48.87,5
Highland Provisions,Kush Sorbet Live Rosin Jam | 1g,PERCENTAGE,75.38,PERCENTAGE,0.21,Top Hat Express,1,Concentrate,rosin,1g,48.87,5
Highland Provisions,Paradise Circus Premium Live Rosin Jam | 1g,PERCENTAGE,0,PERCENTAGE,0,Top Hat Express,1,Concentrate,budder,1g,48.87,10
Highland Provisions,Strawberries and Cream Premium Live Rosin Jam | 1g,PERCENTAGE,74.36,PERCENTAGE,0.16,Top Hat Express,1,Concentrate,rosin,1g,48.87,2
Highland Provisions,Tropsanto Premium Live Rosin Budder | 1g,PERCENTAGE,77,PERCENTAGE,0.19,Top Hat Express,1,Concentrate,budder,1g,48.87,3
Willamette Valley Alchemy,Willamette Valley Alchemy | Wedding Cake Live Rosin | 1g,PERCENTAGE,65.28,PERCENTAGE,0.2,MindRite,0,Concentrate,rosin,1g,49.5,5
,Decibel Spiked Garlic Breath 90u Rosin,N/A,0,N/A,0,Truly Pure,1,Concentrate,rosin,1g,50,8
,HC Guava Fresh Press Rosin,N/A,0,N/A,0,Truly Pure,1,Concentrate,rosin,1g,50,2
,HC LA Wedding Pop Rosin Batter,N/A,0,N/A,0,Truly Pure,1,Concentrate,rosin,1g,50,1
Bos Nose Knows,Extract - Bos Nose - Grease Bucket (Badder),PERCENTAGE,70.94,PERCENTAGE,0,VIBE - Amberlight,0,Concentrate,rosin,1g,50,7
